name,gender,meaning
Aaron,Male,Lofty; high mountain
Abigail,Female,My father's joy
Ada,Female,Noble
Abner,Male,Father of light
Aaden,Unisex,One who is fiery; little fire
David,Male,Beloved; dear friend
Eden,Unisex,Delight; place of pleasure
Elizabeth,Female,God is my oath
Caleb,Male,Faithful; brave
Zelene,Female,Of the sunshine
Gabriel,Male,God is my strength
Hannah,Female,Grace
Isaac,Male,He laughs
Leah,Female,Weary
Noah,Male,Rest; comfort
Rebekah,Female,Captivating
Samuel,Male,God has heard
Sarah,Female,Princess
Zion,Unisex,A sign; sunny place
Naomi,Female,Pleasantness
Aaron,Male,Lofty; high mountain
Abigail,Female,My father's joy
Ada,Female,Noble
Abner,Male,Father of light
Aaden,Unisex,One who is fiery; little fire
David,Male,Beloved; dear friend
Eden,Unisex,Delight; place of pleasure
Elizabeth,Female,God is my oath
Caleb,Male,Faithful; brave
Zelene,Female,Of the sunshine
Gabriel,Male,God is my strength
Hannah,Female,Grace
Isaac,Male,He laughs
Leah,Female,Weary
Noah,Male,Rest; comfort
Rebekah,Female,Captivating
Samuel,Male,God has heard
Sarah,Female,Princess
Zion,Unisex,A sign; sunny place
Naomi,Female,Pleasantness
Aaron,Male,Lofty; high mountain
Abigail,Female,My father's joy
Ada,Female,Noble
Abner,Male,Father of light
Aaden,Unisex,One who is fiery; little fire
David,Male,Beloved; dear friend
Eden,Unisex,Delight; place of pleasure
Elizabeth,Female,God is my oath
Caleb,Male,Faithful; brave
Zelene,Female,Of the sunshine
Gabriel,Male,God is my strength
Hannah,Female,Grace
Isaac,Male,He laughs
Leah,Female,Weary
Noah,Male,Rest; comfort
Rebekah,Female,Captivating
Samuel,Male,God has heard
Sarah,Female,Princess
Zion,Unisex,A sign; sunny place
Naomi,Female,Pleasantness
Aaron,Male,Lofty; high mountain
Abigail,Female,My father's joy
Ada,Female,Noble
Abner,Male,Father of light
Aaden,Unisex,One who is fiery; little fire
David,Male,Beloved; dear friend
Eden,Unisex,Delight; place of pleasure
Elizabeth,Female,God is my oath
Caleb,Male,Faithful; brave
Zelene,Female,Of the sunshine
Gabriel,Male,God is my strength
Hannah,Female,Grace
Isaac,Male,He laughs
Leah,Female,Weary
Noah,Male,Rest; comfort
Rebekah,Female,Captivating
Samuel,Male,God has heard
Sarah,Female,Princess
Zion,Unisex,A sign; sunny place
Naomi,Female,Pleasantness
Aaron,Male,Lofty; high mountain
Abigail,Female,My father's joy
Ada,Female,Noble
Abner,Male,Father of light
Aaden,Unisex,One who is fiery; little fire
David,Male,Beloved; dear friend
Eden,Unisex,Delight; place of pleasure
Elizabeth,Female,God is my oath
Caleb,Male,Faithful; brave
Zelene,Female,Of the sunshine
Gabriel,Male,God is my strength
Hannah,Female,Grace
Isaac,Male,He laughs
Leah,Female,Weary
Noah,Male,Rest; comfort
Rebekah,Female,Captivating
Samuel,Male,God has heard
Sarah,Female,Princess
Zion,Unisex,A sign; sunny place
Naomi,Female,Pleasantness
Aaron,Male,Lofty; high mountain
Abigail,Female,My father's joy
Ada,Female,Noble
Abner,Male,Father of light
Aaden,Unisex,One who is fiery; little fire
David,Male,Beloved; dear friend
Eden,Unisex,Delight; place of pleasure
Elizabeth,Female,God is my oath
Caleb,Male,Faithful; brave
Zelene,Female,Of the sunshine
Gabriel,Male,God is my strength
Hannah,Female,Grace
Isaac,Male,He laughs
